text,time,anger,disgust,fear,joy,sadness
This makes me want to come back T-T,2016-11-30T07:10:36+0000,0.284392,0.084209,0.103784,0.345864,0.271614
There’s nothing more depressing than having it all and still feeling sad.,2016-11-29T22:09:53+0000,0.018348,0.016918,0.008894,0.087157,0.886951
"""Use your energy to sell what you’re selling. Don’t use it to promote something that sells what you’re selling.""

This makes me love start up even more <3

",2016-11-29T06:23:53+0000,0.165698,0.234321,0.084095,0.441903,0.144105
Magic,2016-11-28T05:51:18+0000,0,0,0,0.78125,0
A balanced life is a happy life.,2016-11-26T07:46:02+0000,0.011089,0.00817,0.003738,0.944909,0.053968
"Made a video for my project <3

+1 for Quang Nguyen Karan Shukla Alan Wernick Pham V Muoi",2016-11-22T04:47:27+0000,0.253427,0.104046,0.039439,0.600077,0.076486
This week marks the end of the season. This one is still the best one so far ;),2016-11-20T17:40:54+0000,0.0482,0.010131,0.068235,0.570629,0.340447
There’s nothing more depressing than having it all and still feeling sad.,2016-11-17T04:45:22+0000,0.018348,0.016918,0.008894,0.087157,0.886951
"Im hurt, and I’m heartbroken, and I’m sad, and I’m depressed, and ive been crying, but I dont wanna let it ruin my life.",2016-11-17T04:45:10+0000,0.049817,0.001964,0.004426,0.0008,0.97384
"How did I go from that little 5 year old, always happy & always laughing, to…this?",2016-11-17T04:44:56+0000,0.035792,0.084986,0.027966,0.540373,0.342048
Often the people with the strongest hearts carry the heaviest ones.,2016-11-17T04:44:42+0000,0.168154,0.066523,0.191926,0.179835,0.44351
"I’m tired of trying, sick of crying, I know I’ve been smiling, but inside I’m dying.",2016-11-17T04:44:27+0000,0.1398,0.005315,0.004674,0.011893,0.878864
"Another bot... bites the dust (this is actually a physical bot :3 )

The bot keeps track of your mental health based on your social media. Cheer you up when you get home, turn on the TV, music (supposedly), and celebrate your successes.",2016-11-14T03:36:30+0000,0.056454,0.050744,0.101992,0.43464,0.370192
"How Trump inspired me:

Never stop applying for your dream jobs! **** may happen!",2016-11-09T18:52:56+0000,0.020398,0.043502,0.321868,0.631679,0.046132
2B || !2B,2016-11-08T06:30:53+0000,0.123445,0.068716,0.120213,0.563656,0.202646
Before you go to sleep.,2016-11-08T05:07:15+0000,0.220764,0.016656,0.391353,0.183861,0.267548
<3,2016-11-07T02:02:12+0000,0,0,0,1,0
1 year ago,2016-11-06T19:41:20+0000,0.037397,0.033565,0.062435,0.463724,0.456672
Another bot.... bites the dust.,2016-11-06T04:18:16+0000,0.114826,0.270313,0.288682,0.165998,0.224743
I wanna go :(,2016-11-04T17:54:37+0000,0.280037,0.006165,0.038403,0.016853,0.711567
How I see,2016-10-26T06:09:00+0000,0.064786,0.362821,0.04938,0.066305,0.554814
Just got real,2016-10-25T22:11:38+0000,0.065023,0.072948,0.11175,0.582161,0.244514
Lot of cameras + Face recognition + This algorithm = WIN,2016-10-25T05:59:51+0000,0.088851,0.027887,0.122423,0.279714,0.540925
Added a slide <3,2016-10-23T20:34:14+0000,0.070635,0.042804,0.089817,0.608096,0.240729
Freaking GOLD!,2016-10-23T04:26:10+0000,0.057808,0.02644,0.447343,0.181119,0.307096
Coming soon <3,2016-10-22T20:34:04+0000,0.033198,0.02361,0.195965,0.694266,0.112554
noooo,2016-10-22T19:06:09+0000,0,0,0,0,0
"In every damn hackathon, there is Soylent.",2016-10-22T00:07:50+0000,0.062141,0.365593,0.101842,0.196322,0.341782
"Grand Prize - $5000

...

I need to borrow a wig...",2016-10-21T15:45:06+0000,0.297504,0.329062,0.083505,0.273593,0.095868
"Does anyone know a good API that offers sentiment analysis based on images?

I mean images, not faces, because there are many APIs for faces already.",2016-10-19T22:34:45+0000,0.10876,0.064221,0.306202,0.091122,0.537781
The app does not just simply collecting pictures...,2016-10-18T03:18:06+0000,0.074739,0.274513,0.123317,0.378346,0.220377
Another Bot bites the dust!,2016-10-17T04:08:56+0000,0.125782,0.268168,0.278683,0.193822,0.172881
"RIP Tripper Bot. My first AI. You served us well.

~ wit.ai on Messenger Platform on Heroku (https://github.com/minhhoangtcu/TripperFacebookBot)",2016-10-10T04:35:16+0000,0.224167,0.058984,0.097078,0.355497,0.280587
Coffee is for the weak. All 2 nights straight.,2016-10-09T22:03:31+0000,0.07519,0.039733,0.263126,0.4386,0.263938
Best 10/10. Going there next semester,2016-10-08T03:33:14+0000,0.018443,0.01374,0.061698,0.5415,0.426033
https://toggl.com/programming-princess,2016-10-05T17:19:52+0000,0,0,0,0,0
When you apply for a gaming company and it asks you to analyze a few heroes... I don't even play games...,2016-10-05T05:13:43+0000,0.281249,0.086581,0.142656,0.124632,0.472104
"How I spent my 24 hours trying to populate a map with little Trumps and Hillaries

Shout out to my partners in crime: Karan and Alan",2016-10-04T16:06:37+0000,0.264087,0.14602,0.07864,0.358853,0.271446
"Mock Interview for our upcoming season.

Quang Nguyen Keith Nguyen

",2016-09-28T06:20:20+0000,0.086398,0.073601,0.113481,0.483673,0.316503
This is basically cheat.,2016-09-24T23:08:37+0000,0.189438,0.362903,0.070397,0.015127,0.477542
"Power through the night or rest?

#everydaydilemma",2016-09-18T09:09:38+0000,0.071422,0.154071,0.734547,0.035386,0.076302
All adventures in my Junior Year <3,2016-09-17T07:50:20+0000,0.025543,0.024881,0.032497,0.813057,0.139964
"This is something...
2 days left. Power through the nights with coffee!",2016-09-17T07:16:29+0000,0.061124,0.101984,0.243933,0.630825,0.025007
"""int mid = (end - start) / 2;""

sometimes you spend an hour for this stupidity....",2016-09-06T04:37:37+0000,0.190049,0.040738,0.066549,0.270278,0.506452
It's something :D,2016-09-01T07:56:25+0000,0.10905,0.039996,0.15274,0.542548,0.18854
"A 4-days summer trip before another school year with my friends.

HD Pictures @ https://500px.com/minhhoang6
or https://www.flickr.com/photos/143138175@N07/",2016-08-30T02:17:21+0000,0.103774,0.006468,0.047261,0.795163,0.089872
Ngủ gật,2016-08-27T05:37:16+0000,0.122352,0.054869,0.144892,0.39952,0.334889
"""Hoa"" mắt",2016-08-27T03:14:58+0000,0.091173,0.075059,0.122189,0.509469,0.231175
đậu đâu?,2016-08-26T05:48:43+0000,0.152839,0.157275,0.196199,0.302425,0.276073
Hack A Ride,2016-08-25T19:03:28+0000,0.492772,0.084391,0.089415,0.308194,0.072296
Bedside story,2016-08-25T00:10:49+0000,0.023215,0.204068,0.149728,0.027849,0.664836
Đá và chim,2016-08-24T05:20:38+0000,0.088559,0.06441,0.123505,0.541998,0.254733
Đá,2016-08-24T04:16:12+0000,0,0,0,0,0
Red Rocks Amphitheatre,2016-08-23T13:54:12+0000,0.069338,0.077513,0.05688,0.70785,0.123581
When orange and cyan collide,2016-08-21T16:15:52+0000,0.073969,0.046622,0.348226,0.499234,0.096817
No Ice Cream!,2016-08-20T21:04:20+0000,0.082403,0.055968,0.101865,0.405923,0.4069
Colorado <3,2016-08-18T01:48:12+0000,0.058975,0.031188,0.079802,0.621872,0.243082
Nắng,2016-08-16T04:30:27+0000,0,0,0,0,0
Summer finally begins!,2016-08-09T04:26:44+0000,0.005084,0.006559,0.039623,0.953663,0.01869
"Mod: Trang Nguyen
Photo + B/R: Minh Hoang

More + HD: https://www.flickr.com/photos/143138175@N07/",2016-07-25T15:12:56+0000,0.168788,0.006459,0.07223,0.70164,0.099033
"Mod: Trang Nguyen
Photo + B/R: Minh Hoang

More + HD: https://www.flickr.com/photos/143138175@N07/",2016-07-25T15:12:56+0000,0.168788,0.006459,0.07223,0.70164,0.099033
Fujifilm,2016-07-23T18:05:48+0000,0,0,0,0,0
"Still waiting....

",2016-07-18T00:01:14+0000,0.544619,0.403867,0.019368,0.027323,0.076685
"Mod: Son Le
Photo + B/R: Minh Hoang
Location: Downtown Fort Worth

More pics + HD: https://flic.kr/s/aHskD4fsbv",2016-07-12T00:42:36+0000,0.043422,0.025561,0.032858,0.515565,0.434169
Everything and everyone in TCU,2016-07-12T00:42:36+0000,0.034304,0.005629,0.207175,0.664431,0.1501
"Mod: Son Le
Photo + B/R: Minh Hoang
Location: Downtown Fort Worth

More pics + HD: https://flic.kr/s/aHskD4fsbv",2016-07-12T00:42:36+0000,0.043422,0.025561,0.032858,0.515565,0.434169
"Mod: Trang Nguyen
Photo + B/R: Minh Hoang

More pics + HD: https://flic.kr/s/aHskBRfUXs",2016-07-10T17:38:36+0000,0.052198,0.013736,0.044841,0.605296,0.32708
Hướng tới,2016-06-28T06:47:54+0000,0.091155,0.08857,0.102189,0.469082,0.29739
